image,x,y,r1,r2
0.jpg,871.0,401.0,10.0,13.0
1.jpg,871.0,401.0,10.0,13.0
2.jpg,871.0,401.0,10.0,13.0
3.jpg,871.0,401.0,10.0,13.0
4.jpg,871.0,401.0,10.0,13.0
5.jpg,871.0,402.0,10.0,12.0
6.jpg,871.0,402.0,10.0,12.0
7.jpg,870.0,404.0,10.0,11.0
8.jpg,870.0,404.0,10.0,11.0
9.jpg,870.0,404.0,10.0,11.0
10.jpg,870.0,405.0,10.0,10.0
11.jpg,870.0,406.0,10.0,10.0
12.jpg,869.0,407.0,11.0,9.0
13.jpg,869.0,407.0,11.0,9.0
14.jpg,869.0,408.0,11.0,9.0
15.jpg,869.0,408.0,11.0,10.0
16.jpg,869.0,409.0,11.0,10.0
17.jpg,870.0,410.0,10.0,10.0
18.jpg,870.0,411.0,10.0,10.0
19.jpg,870.0,411.0,10.0,11.0
20.jpg,870.0,412.0,10.0,11.0
21.jpg,870.0,413.0,10.0,11.0
22.jpg,870.0,415.0,10.0,11.0
23.jpg,869.0,417.0,10.0,10.0
24.jpg,869.0,419.0,11.0,9.0
25.jpg,869.0,421.0,11.0,9.0
26.jpg,869.0,423.0,11.0,9.0
27.jpg,869.0,424.0,11.0,9.0
28.jpg,869.0,426.0,11.0,10.0
29.jpg,869.0,428.0,10.0,10.0
30.jpg,869.0,430.0,10.0,10.0
31.jpg,870.0,431.0,10.0,11.0
32.jpg,869.0,434.0,10.0,10.0
33.jpg,869.0,435.0,10.0,11.0
34.jpg,869.0,438.0,10.0,11.0
35.jpg,869.0,441.0,10.0,10.0
36.jpg,868.0,444.0,10.0,9.0
37.jpg,868.0,447.0,11.0,9.0
38.jpg,868.0,450.0,11.0,9.0
39.jpg,868.0,453.0,11.0,9.0
40.jpg,868.0,455.0,11.0,9.0
41.jpg,868.0,459.0,11.0,9.0
42.jpg,869.0,462.0,10.0,10.0
43.jpg,869.0,465.0,10.0,10.0
44.jpg,869.0,467.0,10.0,11.0
45.jpg,869.0,470.0,10.0,10.0
46.jpg,869.0,474.0,10.0,10.0
47.jpg,867.0,477.0,10.0,9.0
48.jpg,868.0,482.0,10.0,10.0
49.jpg,867.0,486.0,10.0,9.0
50.jpg,867.0,491.0,11.0,9.0
51.jpg,866.0,494.0,11.0,8.0
52.jpg,867.0,497.0,10.0,8.0
53.jpg,867.0,501.0,10.0,8.0
54.jpg,868.0,505.0,10.0,10.0
55.jpg,867.0,509.0,10.0,9.0
56.jpg,868.0,514.0,10.0,10.0
57.jpg,868.0,518.0,10.0,10.0
58.jpg,868.0,523.0,10.0,10.0
59.jpg,866.0,526.0,10.0,9.0
60.jpg,866.0,531.0,10.0,9.0
61.jpg,866.0,536.0,10.0,9.0
62.jpg,866.0,542.0,10.0,9.0
63.jpg,865.0,547.0,11.0,8.0
64.jpg,865.0,551.0,11.0,8.0
65.jpg,865.0,556.0,11.0,8.0
66.jpg,865.0,561.0,11.0,8.0
67.jpg,866.0,566.0,10.0,9.0
68.jpg,866.0,572.0,10.0,8.0
69.jpg,865.0,575.0,9.0,6.0
70.jpg,867.0,578.0,7.0,3.0
71.jpg,,,,
72.jpg,856.0,594.0,0.0,1.0
73.jpg,863.0,602.0,11.0,6.0
74.jpg,864.0,605.0,12.0,7.0
75.jpg,865.0,610.0,12.0,7.0
76.jpg,866.0,613.0,11.0,8.0
77.jpg,867.0,616.0,11.0,8.0
78.jpg,870.0,620.0,10.0,10.0
79.jpg,872.0,623.0,10.0,11.0
80.jpg,873.0,626.0,10.0,11.0
81.jpg,875.0,630.0,10.0,12.0
82.jpg,874.0,631.0,10.0,9.0
83.jpg,877.0,636.0,11.0,9.0
84.jpg,877.0,637.0,11.0,8.0
85.jpg,895.0,656.0,42.0,8.0
86.jpg,882.0,641.0,11.0,7.0
87.jpg,903.0,661.0,49.0,7.0
88.jpg,906.0,660.0,47.0,9.0
89.jpg,909.0,659.0,44.0,10.0
90.jpg,895.0,642.0,10.0,11.0
91.jpg,898.0,642.0,10.0,11.0
92.jpg,901.0,642.0,10.0,11.0
93.jpg,904.0,642.0,10.0,10.0
94.jpg,907.0,641.0,11.0,9.0
95.jpg,910.0,640.0,11.0,8.0
96.jpg,913.0,639.0,11.0,7.0
97.jpg,917.0,637.0,11.0,7.0
98.jpg,922.0,635.0,11.0,7.0
99.jpg,926.0,633.0,11.0,7.0
100.jpg,930.0,632.0,10.0,6.0
101.jpg,934.0,632.0,9.0,5.0
102.jpg,,,,
103.jpg,946.0,615.0,6.0,3.0
104.jpg,947.0,613.0,8.0,2.0
105.jpg,955.0,614.0,10.0,8.0
106.jpg,959.0,611.0,10.0,7.0
107.jpg,963.0,608.0,10.0,7.0
108.jpg,968.0,605.0,9.0,7.0
109.jpg,973.0,602.0,9.0,8.0
110.jpg,979.0,600.0,10.0,8.0
111.jpg,983.0,597.0,8.0,9.0
112.jpg,987.0,593.0,6.0,9.0
113.jpg,993.0,593.0,8.0,9.0
114.jpg,997.0,591.0,8.0,9.0
115.jpg,1001.0,588.0,6.0,8.0
116.jpg,1005.0,587.0,7.0,7.0
117.jpg,1010.0,585.0,8.0,7.0
118.jpg,1016.0,584.0,8.0,8.0
119.jpg,1020.0,583.0,9.0,8.0
120.jpg,1026.0,582.0,9.0,9.0
121.jpg,1031.0,580.0,9.0,10.0
122.jpg,1036.0,579.0,9.0,10.0
123.jpg,1041.0,577.0,9.0,10.0
124.jpg,1046.0,576.0,9.0,10.0
125.jpg,1050.0,575.0,9.0,10.0
126.jpg,1055.0,574.0,9.0,10.0
127.jpg,1060.0,573.0,9.0,10.0
128.jpg,1063.0,572.0,9.0,8.0
129.jpg,1068.0,572.0,10.0,8.0
130.jpg,1073.0,572.0,10.0,8.0
131.jpg,1078.0,571.0,10.0,9.0
132.jpg,1082.0,571.0,10.0,9.0
133.jpg,1088.0,571.0,10.0,10.0
134.jpg,1093.0,571.0,10.0,10.0
135.jpg,1098.0,570.0,9.0,11.0
136.jpg,1102.0,570.0,10.0,10.0
137.jpg,1107.0,570.0,10.0,10.0
138.jpg,1111.0,569.0,9.0,10.0
139.jpg,1116.0,569.0,9.0,10.0
140.jpg,1120.0,570.0,9.0,10.0
141.jpg,1125.0,571.0,10.0,10.0
142.jpg,1129.0,571.0,10.0,9.0
143.jpg,1133.0,572.0,10.0,9.0
144.jpg,1138.0,572.0,10.0,9.0
145.jpg,1143.0,573.0,9.0,9.0
146.jpg,1149.0,574.0,10.0,10.0
147.jpg,1153.0,575.0,10.0,10.0
148.jpg,1158.0,575.0,10.0,11.0
149.jpg,1163.0,576.0,9.0,11.0
150.jpg,1167.0,577.0,10.0,11.0
151.jpg,1171.0,578.0,9.0,10.0
152.jpg,1175.0,579.0,9.0,10.0
153.jpg,1181.0,582.0,10.0,10.0
154.jpg,1184.0,583.0,10.0,9.0
155.jpg,1189.0,584.0,9.0,10.0
156.jpg,1192.0,585.0,7.0,9.0
157.jpg,1196.0,585.0,5.0,10.0
158.jpg,1198.0,586.0,3.0,8.0
159.jpg,1200.0,590.0,0.0,4.0
160.jpg,,,,
161.jpg,,,,
162.jpg,,,,
163.jpg,,,,
164.jpg,,,,
165.jpg,,,,
166.jpg,,,,
167.jpg,,,,
168.jpg,,,,
169.jpg,,,,
170.jpg,,,,
