ID,Contact_Frame,Leave_Frame,Angle_Thin_Film,Total_Frames,Passthrough,H,Angle_of_Drop_with_Normal,Velocity_at_Contact_Frame,X_Velocity_at_Contact_Frame,Y_Velocity_at_Contact_Frame,Angle_at_Leave_Frame,Velocity_at_Leave_Frame,X_Velocity_at_Leave_Frame,Y_Velocity_at_Leave_Frame,H_C,Angle_at_Contact_Frame_C,Velocity_at_Contact_Frame_C,X_Velocity_at_Contact_Frame_C,Y_Velocity_at_Contact_Frame_C,g_in_Region_I,Angle_at_Leave_Frame_C,Velocity_at_Leave_Frame_C,X_Velocity_at_Leave_Frame_C,Y_Velocity_at_Leave_Frame_C,g_in_Region_III
 h1,073,085,21.5,219,0,74.0,19.01,3.29,-0.14,3.29,14.93,6.65,6.43,-1.71,75.0,22.07,3.58,-0.04,3.58,974.97,0.63,2.39,2.39,-0.03,891.62
 h1_try,073,085,21.5,219,0,70.0,19.4,3.15,-0.14,3.14,13.74,6.62,6.43,-1.57,71.0,22.56,3.48,-0.03,3.48,971.86,-7.91,2.43,2.41,0.33,707.08
 h2,094,113,27,300,0,81.0,24.71,3.57,-0.14,3.57,-45.0,2.22,1.57,1.57,80.0,27.47,3.76,-0.03,3.76,1018.24,6.18,2.48,2.46,-0.27,522.42
 h3,263,285,27,370,1,86.0,27.0,3.57,0.0,3.57,-0.0,2.57,2.57,0.0,86.0,27.32,3.89,-0.02,3.89,1011.22,-37.64,3.22,2.55,1.96,427.74
 h4,116,136,24.5,282,0,99.0,22.38,3.86,-0.14,3.86,28.61,5.37,4.71,-2.57,99.0,24.53,4.13,-0.0,4.13,985.38,21.79,4.24,3.94,-1.57,985.09
 h5_short,059,077,24.5,180,0,110.0,24.5,4.0,0.0,4.0,29.93,5.44,4.71,-2.71,109.0,25.18,4.39,-0.05,4.39,1011.38,25.71,4.4,3.96,-1.91,1012.92
 h6,062,082,24.5,191,0,120.0,22.59,4.29,-0.14,4.29,26.57,5.43,4.86,-2.43,120.0,25.06,4.55,-0.04,4.55,987.61,26.62,4.73,4.23,-2.12,1015.9
 h7_short,059,077,25,180,0,131.0,23.15,4.43,-0.14,4.43,27.22,5.62,5.0,-2.57,131.0,25.91,4.81,-0.08,4.81,1010.02,26.76,4.77,4.26,-2.15,990.37
 h7,059,079,25,273,0,131.0,23.15,4.43,-0.14,4.43,29.2,5.56,4.86,-2.71,131.0,25.92,4.83,-0.08,4.83,1014.95,26.06,4.75,4.27,-2.09,999.12
 h8_short,062,081,24.5,180,0,140.0,22.76,4.72,-0.14,4.71,26.57,5.43,4.86,-2.43,140.0,25.22,4.93,-0.06,4.93,996.54,27.93,5.07,4.48,-2.37,992.28
 h9_short,064,085,24.5,180,0,145.0,22.76,4.72,-0.14,4.71,29.05,5.88,5.14,-2.86,144.0,25.28,5.02,-0.07,5.02,1006.3,26.74,4.97,4.44,-2.24,1000.15
 h10_short,067,085,24.5,178,0,166.0,22.86,5.0,-0.14,5.0,28.93,6.2,5.43,-3.0,166.0,25.06,5.37,-0.05,5.37,992.87,29.79,5.42,4.7,-2.69,1036.05
 h11_short,072,092,27.5,166,0,170.0,27.5,5.0,0.0,5.0,20.28,7.01,6.57,-2.43,170.0,28.11,5.42,-0.06,5.42,988.47,6.89,3.65,3.62,-0.44,1520.44
 h12_short,020,042,27.5,100,0,96.0,25.95,5.29,-0.14,5.29,19.44,5.15,4.86,-1.71,92.0,28.61,5.6,-0.11,5.6,903.18,-28.42,2.09,1.84,1.0,1119.01
 h13_short,077,097,27.5,171,0,204.0,24.64,5.72,-0.29,5.71,25.6,7.6,6.86,-3.29,203.0,27.84,5.94,-0.04,5.94,1001.35,23.66,6.04,5.53,-2.42,1108.62
 h14_short,076,100,25.5,148,1,218.0,24.1,5.86,-0.14,5.86,5.19,3.16,3.14,-0.29,218.0,26.18,6.18,-0.07,6.17,1003.02,-3.29,3.66,3.65,0.21,792.43
 h15_short,077,100,25.5,142,1,224.0,24.14,6.0,-0.14,6.0,-5.71,2.87,2.86,0.29,224.0,26.05,6.24,-0.06,6.24,998.47,-12.69,3.72,3.63,0.82,685.72
 h16_short,078,099,25.5,145,1,232.0,24.14,6.0,-0.14,6.0,-19.98,3.34,3.14,1.14,232.0,25.91,6.36,-0.05,6.36,997.32,-17.51,3.46,3.3,1.04,861.32
 h17_short,080,100,25.5,144,1,246.0,24.17,6.14,-0.14,6.14,-26.57,3.19,2.86,1.43,246.0,26.06,6.54,-0.06,6.54,995.81,-23.7,3.42,3.14,1.38,954.83
 h18_short,083,100,29.5,144,1,267.0,28.25,6.57,-0.14,6.57,-52.7,3.77,2.29,3.0,267.0,29.82,6.83,-0.04,6.83,1005.12,-46.39,4.25,2.93,3.08,593.05
 h19_short,085,099,29.5,141,1,283.0,28.28,6.72,-0.14,6.71,-65.85,4.54,1.86,4.14,283.0,29.79,7.0,-0.04,7.0,994.3,-58.59,4.42,2.3,3.77,907.47
 h20_short,088,101,29,140,1,299.0,27.88,7.29,-0.14,7.29,-66.57,4.67,1.86,4.29,300.0,29.54,7.21,-0.07,7.21,1001.69,-62.0,4.7,2.21,4.15,890.43
 h21_short,092,104,29,143,1,324.0,26.75,7.29,-0.29,7.29,-73.61,5.06,1.43,4.86,323.0,29.48,7.52,-0.06,7.52,1008.15,-71.16,6.35,2.05,6.01,867.44
 h22_short,093,103,29.5,130,1,336.0,29.5,7.14,0.0,7.14,-74.48,5.34,1.43,5.14,337.0,29.91,7.69,-0.06,7.69,1002.35,-71.28,5.92,1.9,5.61,329.39
 h23_short,035,040,18.5,49,1,343.0,18.5,12.57,0.0,12.57,-87.9,11.72,0.43,11.71,333.0,19.26,13.14,-0.17,13.14,1019.02,-87.24,10.85,0.52,10.83,969.92
 h24,026,029,20.5,48,1,492.0,18.45,8.01,-0.29,8.0,89.01,8.29,-0.14,8.29,-105.0,20.07,41.26,0.31,41.26,52204.41,-42.79,12.12,8.89,8.23,-14591.4
 h25_short,021,023,19,25,1,313,18.27,22.57,-0.29,22.57,89.28,22.86,22.86,22.86,294,20.04,20.22,-0.37,20.21,934.33,90.0,18.27,-0.0,18.27,3555.29
 ref,068,107,24.5,171,0,161.0,22.82,4.86,-0.14,4.86,30.07,6.27,5.43,-3.14,160.0,25.23,5.37,-0.07,5.37,990.93,28.0,5.38,4.75,-2.52,1022.42
